"Table 4.6. Historical-Cost Depreciation of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 31, 2015"
"Line"," ","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"10","    Equipment",0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.9,0.9,1.0,1.0,1.1,1.2,1.2,1.3,1.4,1.6,1.9,2.3,2.5,2.7,2.9,3.2,3.5,3.7,4.0,4.3,4.7,5.1,5.2,5.4,5.6,5.8,6.1,6.5,7.1,7.9,8.7,9.5,10.3,11.0,11.7,12.6,13.6,14.9,16.5,18.3,20.5,23.1,25.9,29.1,32.9,36.7,38.9,41.2,44.9,47.9,50.7,53.2,56.0,59.5,62.9,66.1,69.4,73.0,77.9,83.7,89.2,94.7,99.4,103.0,105.8,107.1,107.3,107.3,108.3,110.5,114.3,118.8,120.4,119.8,121.2,124.2,128.5,134.3
"11","    Structures",0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.8,0.9,0.9,1.0,1.0,1.1,1.2,1.3,1.4,1.6,1.7,1.8,2.0,2.1,2.2,2.4,2.7,2.9,3.1,3.3,3.6,4.0,4.4,4.8,5.1,5.4,5.7,6.1,6.3,6.6,6.9,7.3,7.6,8.0,8.3,8.6,9.0,9.6,10.1,10.7,11.1,11.6,12.1,12.5,12.7,12.7,12.9,13.1,13.5,14.0,14.4,14.7,14.9,15.3,15.9,16.6
"12","    Intellectual property products",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.7,0.7,0.8,0.9,1.1,1.3,1.5,1.8,2.1,2.4,2.7,3.1,3.4,3.8,4.1,4.5,5.0,5.5,6.1,6.7,7.5,8.3,9.0,9.7,10.6,11.7,12.9,14.1,15.4,16.9,18.8,21.1,24.0,26.9,29.8,33.4,37.8,41.9,45.4,48.8,52.4,56.4,60.4,64.3,67.9,71.6,76.9,84.4,93.8,103.6,112.3,121.0,129.6,134.2,134.9,136.2,140.1,146.9,155.7,166.3,173.6,177.4,183.4,191.3,200.2,210.6
"13","  Nonfarm nonmanufacturing",4.3,4.6,4.7,4.8,5.0,5.0,4.9,4.7,4.5,4.3,4.2,4.2,4.3,4.3,4.3,4.4,4.6,4.6,4.6,4.6,4.7,5.2,6.1,7.1,8.0,8.9,9.9,10.7,11.6,12.6,13.7,14.9,16.2,17.6,18.6,19.5,20.6,21.9,23.3,24.9,26.9,29.4,31.8,34.5,37.7,40.9,44.2,48.1,53.7,59.2,64.2,70.2,78.3,89.0,102.5,117.0,132.8,151.7,169.8,189.7,212.4,233.3,254.1,274.9,297.0,318.0,335.8,352.5,373.5,399.2,427.9,459.6,497.0,542.2,595.9,656.3,705.6,737.7,765.7,797.7,835.9,882.7,933.9,975.8,994.4,1004.2,1027.9,1067.1,1113.9,1164.0
"14","    Equipment",3.0,3.2,3.2,3.2,3.2,3.2,3.1,2.8,2.6,2.4,2.3,2.3,2.4,2.4,2.3,2.4,2.5,2.6,2.4,2.4,2.5,2.9,3.6,4.4,5.1,5.8,6.6,7.1,7.8,8.4,9.2,10.0,10.8,11.8,12.4,12.8,13.5,14.2,15.2,16.2,17.7,19.4,21.0,22.9,25.2,27.4,29.6,32.4,36.1,40.1,43.6,47.7,53.6,61.4,71.0,80.7,90.4,101.9,112.7,125.1,139.7,152.7,165.9,178.5,190.7,200.7,207.4,214.0,225.0,241.4,261.2,282.9,306.2,332.7,362.4,393.8,417.0,429.0,438.2,450.6,468.3,492.9,519.6,536.0,532.0,526.4,535.1,553.4,577.0,601.9
"15","    Structures",1.2,1.2,1.3,1.4,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.7,1.7,1.8,2.0,2.1,2.3,2.5,2.7,2.9,3.1,3.4,3.7,4.0,4.3,4.6,4.9,5.2,5.5,5.8,6.1,6.5,6.9,7.4,7.8,8.3,8.9,9.4,10.1,11.5,12.4,13.4,14.4,15.7,17.3,19.5,22.4,26.3,30.9,34.8,38.3,42.2,45.6,48.3,51.0,53.8,56.9,59.8,62.1,64.1,66.3,68.7,71.5,74.9,79.1,83.4,88.1,93.5,98.3,102.8,107.7,113.8,122.3,132.9,145.1,155.5,162.4,169.1,177.5,186.9,196.7
"16","    Intellectual property products",0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.8,2.0,2.1,2.3,2.5,2.8,3.1,3.4,3.8,4.2,4.7,5.2,5.6,6.1,6.6,7.3,8.1,9.1,10.3,12.0,13.9,16.1,19.0,22.3,26.2,30.5,35.0,39.8,45.4,52.5,60.4,68.5,76.5,84.3,91.6,98.0,105.3,115.9,130.4,150.1,174.5,195.1,210.3,224.8,239.4,253.7,267.6,281.4,294.7,307.0,315.4,323.6,336.2,350.0,365.3
" ","By legal form of organization:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","  Corporate",4.2,4.4,4.4,4.5,4.7,4.7,4.7,4.5,4.3,4.2,4.1,4.1,4.3,4.3,4.4,4.5,4.7,4.9,5.0,5.1,5.3,5.9,6.9,7.9,8.8,9.6,10.6,11.6,12.8,14.0,15.2,16.7,18.4,20.2,21.5,22.6,24.1,25.7,27.6,29.6,32.3,35.6,39.1,42.8,47.0,51.2,55.3,60.0,66.6,73.6,80.7,88.8,99.3,112.4,128.2,145.7,165.2,187.1,207.3,229.9,256.7,280.8,303.7,325.6,349.5,374.3,396.9,417.9,442.8,472.8,508.4,550.0,597.9,651.2,709.0,770.8,821.1,849.6,869.3,893.4,926.4,970.9,1022.1,1067.4,1087.4,1095.8,1121.3,1164.2,1216.4,1274.3
"18","    Equipment",2.8,3.0,3.0,3.0,3.0,3.0,2.9,2.7,2.5,2.4,2.3,2.3,2.4,2.5,2.5,2.6,2.7,2.8,2.8,2.8,3.0,3.5,4.2,5.0,5.7,6.3,6.9,7.6,8.3,9.0,9.8,10.6,11.6,12.8,13.4,13.9,14.7,15.6,16.7,17.9,19.6,21.8,24.0,26.3,29.0,31.5,33.9,37.0,41.1,45.7,50.2,55.3,62.4,71.5,82.3,93.5,105.2,118.3,129.5,142.2,157.9,171.4,184.9,197.2,209.7,221.5,230.8,239.6,252.6,270.8,293.4,318.8,345.4,373.9,403.7,433.3,454.3,463.2,468.2,476.1,489.4,509.8,533.2,548.3,543.7,536.8,544.6,562.7,587.0,613.8
