"Table 1.10. Gross Domestic Income by Type of Income"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: December 22, 2015 - Next Release Date January 29, 2016"
"Line"," ","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"11","        Net interest and miscellaneous payments, domestic industries",4.0,4.3,4.3,4.1,3.7,3.8,3.9,3.7,3.6,3.6,3.6,3.3,3.3,3.2,2.9,2.5,2.3,1.9,2.4,2.5,2.8,3.1,3.6,4.0,4.7,5.5,6.1,6.9,8.1,9.5,9.6,10.5,12.2,13.9,14.8,17.0,19.2,22.0,25.1,27.1,34.1,41.2,45.5,50.3,59.5,75.4,87.5,89.6,104.6,120.0,143.6,187.4,235.0,273.4,289.6,336.2,360.6,385.9,398.7,428.2,483.7,489.1,450.6,422.8,413.0,416.0,436.6,447.9,493.7,557.8,575.7,667.6,677.8,592.9,557.4,510.1,632.2,758.1,880.7,916.4,760.9,670.6,655.2,691.9,668.9,678.0
"12","        Business current transfer payments (net)",0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.8,0.9,0.7,0.7,0.7,0.7,0.8,1.2,1.2,1.2,0.9,1.3,1.7,1.8,1.7,1.7,1.7,1.9,2.1,2.5,3.0,3.5,3.4,3.6,4.2,4.8,4.4,4.2,4.8,5.7,6.8,9.0,9.1,8.1,10.4,12.8,14.0,16.9,19.3,21.7,29.2,34.1,36.0,33.3,32.8,38.3,39.2,38.9,39.7,39.4,40.7,45.0,52.6,50.1,64.1,67.8,85.3,99.1,80.7,76.3,81.4,93.9,82.6,98.6,114.4,124.9,128.5,131.5,104.7,119.4,127.3
"13","        Proprietors' income with inventory valuation and capital consumption adjustments",14.0,10.9,8.3,5.0,5.3,7.0,10.1,10.4,12.5,10.6,11.1,12.2,16.7,23.3,28.2,29.3,30.8,35.7,34.6,39.3,34.7,37.5,42.6,43.0,42.0,42.3,44.3,45.8,47.8,50.2,50.3,50.6,53.2,55.2,56.4,59.1,63.7,67.9,69.5,73.8,77.0,77.8,83.9,95.1,112.5,112.2,118.2,131.0,144.5,166.0,179.4,171.6,179.7,171.2,186.3,228.2,241.1,256.5,286.5,325.8,341.9,354.4,356.0,402.4,430.5,459.5,484.5,547.4,587.9,644.2,700.4,757.8,836.8,871.0,900.1,962.1,979.0,1053.7,979.2,1026.5,973.0,1032.7,1143.7,1241.4,1285.1,1346.7
"14","        Rental income of persons with capital consumption adjustment",6.1,5.4,4.4,3.6,2.9,2.5,2.6,2.7,3.0,3.5,3.7,3.8,4.4,5.5,6.0,6.3,6.6,6.9,6.9,7.5,7.8,8.8,9.7,10.8,12.0,13.1,13.4,13.7,14.1,14.8,15.6,16.5,17.2,18.0,18.7,18.8,19.3,19.9,20.3,20.1,20.4,20.7,21.9,22.8,23.3,23.3,22.5,20.6,16.2,16.9,16.6,19.7,25.4,26.1,27.5,27.9,29.5,21.9,20.2,25.1,24.4,31.4,42.0,64.3,93.6,117.5,129.2,147.0,152.0,169.9,183.1,187.7,207.5,217.3,238.0,255.4,238.4,207.5,189.4,262.1,333.7,402.8,485.3,525.3,563.4,610.8
"15","        Corporate profits with inventory valuation and capital consumption adjustments, domestic industries",10.6,7.4,3.0,-0.2,-0.2,2.5,3.9,6.1,6.8,4.7,6.3,9.6,15.3,20.4,24.5,24.5,20.1,17.6,23.2,30.1,27.9,34.8,39.5,37.8,38.5,37.5,47.8,46.8,46.0,41.3,52.8,51.5,52.6,60.3,66.4,73.2,84.6,91.6,89.1,96.1,91.8,79.1,92.8,107.7,118.5,108.2,124.2,157.8,186.7,215.7,214.4,188.1,217.8,197.3,244.7,301.3,316.4,284.9,318.0,357.9,347.1,341.1,374.9,402.2,445.1,543.9,610.1,684.1,758.2,701.3,708.2,635.0,583.6,748.4,889.7,1078.3,1238.7,1390.3,1175.6,878.4,1039.8,1351.2,1394.7,1587.8,1622.6,1654.7
"16","            Taxes on corporate income",1.4,0.8,0.5,0.4,0.5,0.7,1.0,1.4,1.5,1.0,1.4,2.8,7.6,11.4,14.1,12.9,10.7,9.1,11.3,12.4,10.2,17.9,22.6,19.4,20.3,17.6,22.0,22.0,21.4,19.0,23.7,22.8,22.9,24.1,26.4,28.2,31.1,33.9,32.9,39.6,40.0,34.8,38.2,42.3,50.0,52.8,51.6,65.3,74.4,84.9,90.0,87.2,84.3,66.5,80.6,97.5,99.4,109.7,130.4,141.6,146.1,145.4,138.6,148.7,171.0,193.1,217.8,231.5,245.4,248.4,258.8,265.1,203.3,192.3,243.8,306.1,412.4,473.4,445.5,309.1,269.4,370.6,379.1,447.6,468.9,513.9
"17","            Profits after tax with inventory valuation and capital consumption adjustments",9.2,6.5,2.5,-0.5,-0.7,1.7,2.9,4.7,5.3,3.7,4.8,6.8,7.7,9.0,10.5,11.6,9.4,8.4,11.9,17.7,17.7,16.9,16.9,18.4,18.2,19.9,25.8,24.8,24.6,22.4,29.1,28.8,29.7,36.2,40.1,45.1,53.5,57.7,56.2,56.5,51.8,44.4,54.6,65.3,68.5,55.5,72.6,92.5,112.2,130.8,124.4,100.9,133.5,130.8,164.1,203.8,217.0,175.2,187.5,216.3,201.0,195.6,236.3,253.5,274.0,350.8,392.2,452.6,512.8,453.0,449.4,369.9,380.3,556.1,646.0,772.2,826.3,917.0,730.1,569.3,770.3,980.7,1015.6,1140.2,1153.7,1140.9
"18","                Net dividends",5.6,5.3,4.1,2.6,2.0,2.5,2.7,4.4,4.5,2.9,3.6,3.8,4.2,4.0,4.2,4.3,4.4,5.1,5.6,6.2,6.4,7.9,7.4,7.5,7.8,7.9,8.9,9.5,9.9,9.8,10.7,11.4,11.5,12.4,13.6,15.0,16.9,17.8,18.3,20.2,20.4,20.4,20.3,21.9,23.1,23.5,26.4,30.1,33.7,39.6,41.5,47.3,58.3,61.3,71.3,78.5,85.7,88.3,95.6,98.0,126.4,144.1,156.2,161.5,184.7,197.8,226.2,263.1,292.2,314.8,306.4,355.4,329.9,352.3,401.9,501.8,319.7,648.1,678.5,628.1,456.5,442.5,548.8,680.1,777.7,724.4
"19","                Undistributed corporate profits with inventory valuation and capital consumption adjustments",3.7,1.2,-1.6,-3.1,-2.7,-0.8,0.2,0.3,0.7,0.8,1.2,3.0,3.5,5.0,6.2,7.3,5.0,3.3,6.3,11.5,11.3,9.0,9.5,10.9,10.5,12.0,16.9,15.4,14.8,12.5,18.4,17.4,18.2,23.8,26.5,30.1,36.6,39.9,37.9,36.3,31.4,24.0,34.3,43.4,45.4,32.0,46.2,62.4,78.5,91.2,82.9,53.6,75.2,69.4,92.7,125.3,131.3,86.9,91.9,118.2,74.7,51.6,80.1,92.0,89.3,153.0,166.1,189.5,220.6,138.2,143.1,14.5,50.4,203.8,244.1,270.4,506.6,268.9,51.6,-58.8,313.8,538.1,466.9,460.1,376.0,416.5
"20","    Current surplus of government enterprises 1","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.5,0.5,0.3,0.4,0.8,0.8,0.7,0.3,0.2,0.3,0.0,-1.2,-1.7,-1.2,-2.2,-2.7,-4.4,-2.7,-3.3,-2.8,-3.2,-5.1,-5.2,-3.8,-2.3,-1.4,1.3,2.0,2.2,5.0,6.7,3.2,7.8,9.9,10.8,11.8,15.6,16.9,17.5,16.3,16.2,10.7,5.2,7.0,3.9,-1.8,-6.4,-9.3,-16.4,-21.2,-20.6,-22.9,-24.5,-19.3,-18.8,-18.3
"21","Consumption of fixed capital",10.4,10.2,9.5,8.3,8.0,8.4,8.5,8.8,9.7,10.0,10.1,10.6,12.1,14.9,18.0,21.4,23.2,25.8,29.2,31.4,32.3,33.4,37.8,40.6,43.5,46.0,48.9,54.1,58.9,62.4,65.4,67.9,70.6,74.1,78.0,82.4,88.0,95.3,103.5,113.3,124.9,136.8,148.9,160.9,178.1,206.2,237.5,259.2,288.3,325.1,371.1,426.0,485.0,534.3,560.5,594.3,636.7,682.2,728.0,782.4,836.1,886.8,931.1,959.7,1003.6,1055.6,1122.8,1176.0,1240.0,1310.3,1400.9,1514.2,1604.0,1662.1,1727.2,1831.7,1982.0,2136.0,2264.4,2363.4,2368.4,2381.6,2450.6,2534.2,2632.8,2746.7
"22","    Private",9.4,9.2,8.6,7.5,7.0,7.3,7.3,7.5,8.4,8.6,8.6,9.0,10.0,11.2,11.5,12.0,12.5,14.2,17.7,20.8,22.6,24.3,27.7,29.5,31.3,33.0,35.0,38.8,42.3,44.9,46.8,48.2,49.8,51.8,54.2,57.3,61.6,67.2,73.3,80.6,89.4,98.3,107.6,117.5,131.5,153.2,178.8,196.5,221.1,252.1,290.7,335.0,381.9,420.4,438.8,463.5,496.4,531.6,566.3,608.3,650.1,689.0,722.4,744.2,780.0,824.3,882.6,931.0,990.1,1054.9,1135.9,1236.6,1317.7,1368.0,1422.4,1509.3,1635.3,1765.0,1865.0,1936.9,1925.7,1923.5,1971.1,2038.0,2126.6,2229.9
"23","    Government",1.0,1.0,0.9,0.9,1.0,1.1,1.1,1.3,1.4,1.5,1.5,1.6,2.1,3.6,6.5,9.3,10.7,11.5,11.5,10.6,9.7,9.1,10.0,11.1,12.1,13.0,13.9,15.3,16.7,17.5,18.6,19.7,20.8,22.3,23.8,25.1,26.4,28.1,30.2,32.7,35.4,38.5,41.2,43.4,46.6,53.0,58.7,62.7,67.2,72.9,80.4,91.0,103.1,113.9,121.8,130.8,140.2,150.6,161.6,174.1,186.0,197.8,208.8,215.6,223.6,231.2,240.2,245.0,249.9,255.3,264.9,277.7,286.3,294.1,304.9,322.4,346.7,371.0,399.4,426.5,442.7,458.1,479.6,496.2,506.2,516.8
" ","Addendum:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24","    Statistical discrepancy",0.7,-0.4,0.7,0.3,0.5,0.4,-0.2,1.2,-0.1,0.7,1.3,1.1,0.3,-0.9,-1.8,2.5,3.8,1.2,2.9,-0.3,1.7,1.2,3.4,2.6,3.8,2.9,2.1,-2.1,-0.4,0.6,0.1,-1.4,-1.0,-0.1,-1.5,0.0,0.8,5.1,3.4,3.2,1.6,5.3,9.5,7.1,6.1,7.4,13.2,20.5,19.3,23.2,44.8,43.9,36.7,6.8,54.2,38.7,51.3,76.7,40.6,-0.5,64.2,91.4,88.4,110.9,152.3,136.8,90.6,56.6,12.3,-60.1,-37.5,-99.5,-115.0,-72.8,-13.6,-8.6,-35.5,-217.3,17.5,99.4,75.3,49.2,-38.3,-203.3,-177.6,-212.0
"Legend / Footnotes:"
"1. Prior to 1959, subsidies (line 8) and the current surplus of government enterprises (line 20) are not shown separately; subsidies are presented net of the current surplus of government enterprises."
