"Table 4.3. Historical-Cost Net Stock of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization"
"[Billions of dollars; yearend estimates]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 31, 2015"
"Line"," ","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"10","    Equipment",6.8,6.9,7.0,7.2,7.5,7.6,7.4,7.1,6.8,6.8,6.9,7.2,7.9,8.0,8.4,9.0,9.8,10.4,10.8,11.7,13.0,14.9,17.7,20.2,21.6,22.9,25.5,28.1,30.5,32.6,34.7,38.3,42.1,43.7,45.2,47.5,49.3,51.7,54.3,58.3,64.3,72.1,78.9,85.6,92.8,99.4,104.9,112.1,120.8,134.6,148.6,163.7,182.6,205.0,230.3,258.9,292.2,314.5,329.6,354.5,381.8,401.1,418.2,435.9,463.9,494.0,522.0,548.4,573.2,606.6,650.6,697.1,738.9,783.6,817.4,851.4,873.7,885.4,891.1,897.7,915.3,940.4,980.2,1019.4,1018.7,1023.0,1049.1,1080.8,1124.8,1179.6
"11","    Structures",6.2,6.6,7.1,7.6,8.2,8.5,8.4,8.2,8.1,8.0,7.9,7.9,8.1,8.0,8.0,8.1,8.7,8.7,8.6,8.5,8.8,10.1,11.3,12.2,12.7,13.3,14.8,16.4,17.8,19.1,20.4,22.9,25.3,26.6,27.6,29.3,30.9,32.4,34.2,36.2,39.3,43.7,47.9,51.9,56.5,61.2,65.4,69.3,74.5,81.8,88.3,94.4,100.9,110.5,121.4,133.8,147.5,159.8,168.4,178.6,190.1,199.3,207.5,216.5,228.3,240.0,250.1,260.4,269.6,280.7,296.9,317.0,335.5,350.3,365.1,382.4,400.8,408.7,411.1,414.8,421.0,428.3,447.4,461.9,471.6,478.0,486.7,504.8,524.6,549.3
"12","    Intellectual property products",0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.9,1.0,1.1,1.3,1.6,1.7,1.7,1.8,2.1,2.6,3.0,3.2,3.6,4.0,4.8,5.8,6.8,7.7,9.2,10.6,12.0,13.4,14.9,16.4,17.9,19.5,21.2,23.1,25.6,28.2,31.1,34.4,37.5,40.1,43.3,47.1,52.0,56.9,62.2,68.0,74.8,83.3,94.2,107.3,120.6,134.8,152.5,171.4,187.3,202.2,217.1,233.9,251.5,269.2,286.4,300.0,316.8,341.9,374.4,411.7,447.8,482.8,522.9,559.2,575.6,591.6,613.3,646.8,689.1,743.3,801.4,835.7,874.3,918.2,964.6,1018.7,1077.2
"13","  Nonfarm nonmanufacturing",70.0,74.1,77.6,81.0,84.6,86.9,86.8,85.1,83.0,81.6,80.8,81.0,82.3,82.5,83.0,84.3,86.2,86.2,86.0,86.7,89.7,95.8,104.9,116.1,126.1,137.7,149.8,161.3,175.2,187.9,203.5,220.9,239.5,254.9,272.6,290.8,308.2,327.6,347.2,369.9,398.6,430.8,461.7,497.0,538.0,578.3,620.9,671.3,734.7,799.1,859.5,930.6,1022.5,1144.4,1298.5,1459.9,1655.4,1850.9,2030.6,2251.9,2485.0,2697.7,2899.5,3116.2,3336.2,3552.5,3729.7,3898.0,4106.7,4330.2,4589.5,4873.0,5203.0,5576.3,6003.3,6474.6,6843.1,7120.5,7398.0,7717.9,8109.6,8614.4,9161.5,9667.2,9900.1,10147.5,10484.2,10918.8,11351.8,11847.4
"14","    Equipment",21.5,22.2,22.5,22.9,23.4,23.1,22.1,20.5,19.0,18.1,17.5,17.5,17.9,17.6,17.6,18.3,19.4,19.0,18.7,18.8,20.4,23.3,28.6,34.2,38.4,43.6,48.6,53.0,58.4,62.2,68.0,74.1,80.8,84.9,90.9,97.3,102.6,109.3,116.4,125.0,136.2,149.9,162.4,177.6,195.6,211.7,228.1,248.2,277.0,305.0,328.8,359.2,403.5,464.5,536.9,602.9,674.8,738.1,806.7,893.8,975.3,1054.4,1124.3,1204.6,1280.7,1340.6,1385.2,1441.8,1530.4,1639.6,1765.0,1896.6,2042.9,2202.8,2394.8,2598.5,2724.1,2798.2,2874.8,2984.7,3132.6,3324.3,3502.0,3598.8,3549.5,3595.2,3709.4,3876.2,4036.3,4218.5
"15","    Structures",47.0,50.3,53.5,56.3,59.3,61.7,62.6,62.4,61.8,61.3,61.0,61.1,61.7,62.0,62.4,62.8,63.4,63.5,63.3,63.7,64.6,67.2,70.5,75.9,81.2,87.2,94.0,100.8,108.8,117.0,126.1,136.9,148.1,158.7,169.5,180.6,191.7,203.4,214.7,227.8,243.9,260.6,277.2,295.2,316.1,338.4,362.9,391.1,423.7,457.8,491.7,527.8,570.1,624.8,698.0,785.2,897.3,1016.4,1112.9,1229.6,1363.5,1476.8,1588.7,1701.6,1817.2,1943.6,2043.8,2126.0,2215.2,2303.9,2411.3,2532.3,2675.3,2841.3,3009.8,3203.6,3396.3,3554.3,3710.0,3875.8,4072.9,4338.2,4661.0,5025.7,5272.0,5440.7,5622.0,5842.0,6069.4,6327.4
"16","    Intellectual property products",1.5,1.5,1.6,1.8,1.9,2.1,2.1,2.1,2.2,2.2,2.3,2.5,2.7,2.9,3.1,3.2,3.4,3.7,4.0,4.3,4.7,5.3,5.7,6.1,6.5,6.9,7.2,7.5,8.1,8.6,9.3,9.9,10.6,11.3,12.1,12.8,13.9,14.9,16.1,17.1,18.5,20.3,22.1,24.2,26.3,28.1,29.9,32.0,34.0,36.2,39.0,43.6,48.9,55.0,63.6,71.9,83.2,96.4,111.1,128.5,146.2,166.5,186.4,210.0,238.3,268.3,300.6,330.2,361.1,386.6,413.3,444.1,484.8,532.2,598.7,672.5,722.7,768.1,813.3,857.3,904.1,951.9,998.5,1042.7,1078.6,1111.6,1152.9,1200.6,1246.0,1301.5
" ","By legal form of organization:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","  Corporate",69.6,72.6,75.3,78.0,81.4,83.4,83.0,81.2,79.4,78.3,77.8,78.2,79.8,80.1,80.7,82.3,85.2,86.3,86.7,88.3,92.1,99.5,109.9,121.4,130.2,140.0,152.9,166.4,181.4,194.7,209.6,229.5,250.8,265.7,282.1,300.7,317.9,336.8,356.3,379.8,411.0,448.8,485.5,526.1,571.7,615.5,658.8,710.0,775.2,852.0,925.5,1009.1,1114.2,1249.8,1415.7,1593.5,1799.4,1991.8,2166.0,2386.2,2614.4,2813.2,2992.2,3185.3,3399.6,3629.4,3824.5,4013.2,4231.3,4476.0,4775.6,5109.1,5473.8,5861.1,6276.2,6730.5,7076.6,7291.8,7501.0,7755.1,8095.2,8539.7,9043.4,9508.2,9688.0,9907.5,10237.6,10671.0,11128.0,11652.6
"18","    Equipment",23.2,23.6,23.7,24.0,24.5,24.5,23.5,22.1,20.8,20.1,19.8,20.0,20.9,20.8,21.0,22.0,23.5,24.0,24.2,25.1,27.4,31.2,37.2,43.4,47.5,52.1,58.0,63.9,70.2,75.2,81.1,89.1,98.4,103.3,109.7,117.5,123.9,132.0,140.7,151.7,167.0,186.1,203.6,223.2,245.3,265.0,284.0,307.7,340.4,377.7,412.0,452.8,509.3,582.5,668.1,752.1,843.7,917.7,990.2,1087.2,1180.2,1264.0,1335.8,1417.5,1507.1,1590.9,1657.7,1733.9,1838.5,1969.1,2126.1,2291.4,2464.3,2645.8,2840.3,3041.7,3159.1,3214.6,3268.6,3352.6,3479.4,3649.9,3819.5,3920.8,3864.1,3898.3,4015.0,4186.9,4365.8,4570.3
