"Table 4.1. Current-Cost Net Stock of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization"
"[Billions of dollars; yearend estimates]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 31, 2015"
"Line"," ","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"10","    Equipment",7.6,7.8,7.9,8.1,8.0,7.6,6.9,6.2,6.7,7.0,7.0,7.8,8.7,8.8,9.2,10.2,11.6,12.1,12.5,13.1,15.0,17.7,21.8,26.2,26.6,31.1,33.9,35.8,38.9,40.5,44.6,51.4,56.3,57.1,59.1,60.4,60.7,62.6,64.4,68.3,74.2,83.9,92.3,101.6,110.6,120.3,126.9,133.9,146.2,182.8,213.9,237.9,268.7,304.3,350.7,407.5,450.6,474.0,478.0,494.7,525.2,552.5,576.6,601.6,632.6,676.1,698.7,718.9,738.5,773.3,821.5,858.8,885.7,919.6,944.9,972.6,984.9,989.1,995.1,1022.4,1054.4,1095.8,1148.5,1207.9,1192.6,1200.9,1237.9,1264.8,1294.4,1341.7
"11","    Structures",9.3,9.6,9.8,10.3,10.2,9.2,7.9,7.3,8.4,8.7,8.8,9.9,10.4,9.8,9.9,10.9,13.2,14.5,14.0,13.7,16.0,20.5,24.8,25.6,24.5,27.4,30.4,32.0,32.2,32.5,35.8,39.9,42.7,41.7,42.1,42.7,44.5,46.3,48.2,51.5,55.7,62.0,67.7,75.8,84.6,94.2,106.5,116.7,130.1,154.6,164.4,176.6,195.2,220.8,255.9,291.2,321.1,343.1,356.0,374.3,390.9,409.0,425.0,442.0,462.3,478.3,482.6,496.7,516.1,542.9,564.3,591.8,624.2,658.3,687.3,719.0,753.4,770.8,773.5,827.7,883.8,928.1,976.5,1049.0,989.5,983.4,1009.9,1026.0,1068.8,1098.7
"12","    Intellectual property products",0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.8,0.9,1.0,1.1,1.6,2.0,2.2,2.3,2.3,2.7,3.2,3.6,3.7,4.3,4.7,5.4,6.4,7.2,8.3,10.0,11.4,12.8,14.2,15.7,17.0,18.4,19.9,21.5,23.4,25.9,28.7,32.4,36.7,40.7,44.0,48.0,55.2,64.2,69.9,76.3,83.3,92.7,105.9,122.0,139.6,154.2,168.5,183.7,199.9,213.2,231.3,248.5,265.7,282.5,301.1,319.4,331.4,354.3,380.9,411.1,450.8,490.6,533.2,576.3,595.5,604.0,633.3,657.7,704.9,747.2,816.1,867.9,897.7,945.7,1002.1,1047.4,1117.4,1170.1
"13","  Nonfarm nonmanufacturing",99.0,103.0,105.3,108.1,107.7,103.2,92.5,86.2,85.9,86.5,86.0,94.8,98.2,97.5,97.7,103.3,115.0,121.0,122.8,123.8,133.4,163.6,195.5,213.1,217.8,245.3,266.8,281.2,294.1,302.6,333.8,368.4,393.4,403.2,421.2,430.3,443.8,459.9,476.8,504.5,539.5,583.0,629.7,691.6,763.3,840.9,926.5,1011.1,1143.9,1389.0,1521.1,1663.4,1844.5,2093.0,2415.2,2771.3,3161.1,3382.5,3506.1,3750.5,3981.0,4193.2,4450.9,4780.0,5095.0,5384.7,5509.7,5703.1,5997.9,6337.3,6681.9,7005.9,7417.1,7847.5,8364.7,9008.9,9509.5,9910.8,10310.2,11283.8,12423.3,13542.3,14295.5,15177.1,14635.9,14991.4,15580.8,16097.5,16712.5,17299.0
"14","    Equipment",20.7,22.2,22.6,23.0,23.1,21.8,19.8,17.6,17.0,17.1,16.5,17.4,18.4,18.2,18.3,19.4,22.3,22.6,22.6,21.8,24.9,30.8,37.6,45.9,48.5,56.4,62.6,65.8,71.6,73.9,82.0,92.3,101.2,104.9,110.9,115.6,118.7,124.0,130.0,138.0,148.3,164.2,180.2,199.8,222.8,245.6,264.9,288.8,323.7,395.6,448.3,493.9,555.1,637.5,741.6,863.0,968.1,1034.1,1083.2,1157.5,1230.5,1312.6,1382.6,1479.8,1569.4,1645.8,1680.8,1724.2,1801.4,1906.0,2027.1,2131.0,2229.3,2339.3,2507.7,2706.0,2798.4,2846.6,2906.9,3085.4,3270.0,3524.3,3701.2,3874.8,3799.0,3868.7,4027.8,4172.1,4322.3,4514.1
"15","    Structures",76.8,79.3,81.0,83.3,82.7,79.4,70.7,66.7,67.0,67.4,67.4,75.0,77.2,76.5,76.4,80.7,89.1,94.4,95.6,96.8,102.7,126.4,150.5,159.5,161.3,180.3,195.3,206.2,212.6,218.2,240.6,264.0,279.1,284.6,295.5,299.3,308.4,318.4,327.8,346.1,368.8,394.1,421.9,461.3,506.7,558.4,623.0,681.5,777.0,945.6,1021.3,1112.8,1226.8,1385.0,1592.7,1816.4,2087.7,2228.6,2287.4,2438.2,2577.7,2687.4,2850.9,3057.4,3251.3,3430.0,3488.4,3610.2,3796.7,4002.5,4194.9,4386.2,4659.2,4933.7,5203.3,5568.4,5940.3,6254.1,6548.0,7298.8,8199.6,9006.6,9535.2,10200.9,9709.8,9963.5,10352.9,10675.4,11087.2,11432.3
"16","    Intellectual property products",1.5,1.6,1.7,1.8,1.9,2.0,2.0,1.9,1.8,2.0,2.1,2.3,2.6,2.8,3.0,3.2,3.6,4.0,4.6,5.2,5.8,6.4,7.3,7.7,8.0,8.6,8.9,9.2,9.9,10.5,11.2,12.1,13.0,13.6,14.8,15.5,16.7,17.5,19.0,20.4,22.5,24.6,27.6,30.5,33.9,36.9,38.5,40.7,43.3,47.8,51.5,56.6,62.6,70.5,80.9,91.8,105.3,119.9,135.5,154.7,172.8,193.2,217.4,242.7,274.3,308.8,340.6,368.7,399.8,428.9,459.9,488.8,528.6,574.4,653.7,734.5,770.8,810.2,855.3,899.6,953.8,1011.4,1059.2,1101.4,1127.1,1159.2,1200.1,1250.0,1303.1,1352.6
" ","By legal form of organization:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","  Corporate",98.6,101.5,102.9,105.2,104.2,99.3,89.4,83.5,84.2,85.4,84.9,93.4,96.8,95.6,96.3,102.3,114.9,122.2,123.1,124.4,135.8,164.2,195.8,214.5,218.6,245.2,266.4,282.4,297.3,306.6,337.8,375.8,404.1,412.9,430.2,439.9,451.8,466.8,482.8,509.8,546.0,594.7,646.4,712.6,786.9,866.5,948.1,1028.1,1159.7,1418.2,1572.5,1728.4,1921.7,2182.1,2518.2,2894.3,3279.3,3498.1,3614.3,3841.8,4063.8,4260.4,4493.6,4788.9,5084.5,5384.3,5528.7,5730.1,6012.2,6355.2,6731.0,7084.3,7499.1,7917.8,8395.0,8983.2,9409.2,9711.3,10019.1,10834.9,11803.4,12739.3,13433.2,14257.1,13784.2,14127.1,14698.8,15187.9,15771.9,16335.4
"18","    Equipment",23.7,24.8,25.0,25.2,25.0,23.6,21.5,19.3,19.4,19.9,19.4,20.8,22.2,22.1,22.5,24.2,27.6,28.5,28.9,28.9,33.1,40.0,48.2,58.2,60.5,69.8,76.9,81.4,88.7,92.0,101.9,116.4,128.3,132.4,139.3,144.9,148.2,154.8,161.8,172.2,186.6,209.3,231.3,257.1,285.1,313.5,336.2,363.2,404.3,500.0,575.9,638.6,721.2,825.0,958.2,1117.1,1246.3,1324.4,1370.1,1448.6,1537.8,1631.1,1709.5,1812.8,1917.5,2028.7,2082.7,2141.4,2231.6,2359.9,2517.9,2651.0,2768.2,2895.8,3061.9,3253.4,3331.8,3356.5,3396.0,3560.5,3732.1,3969.8,4147.7,4335.3,4243.3,4302.4,4468.9,4619.2,4777.3,4983.3
